id,title,budget,revenue,date_id
19855,The War,3000000.0,1524966.0,19941104
236,Muriel's Wedding,3000000.0,1.5119639E7,19940929
48287,The Baby-Sitters Club,1.5E7,1.09E8,19950818
3049,Ace Ventura: Pet Detective,1.5E7,1.07217396E8,19940204
2759,"The Adventures of Priscilla, Queen of the Desert",1000000.0,1.122067E7,19940531
10497,Bitter Moon,5000000.0,1862805.0,19920902
9331,Clear and Present Danger,6.2E7,2.15887717E8,19940803
10731,The Client,4.5E7,1.17615211E8,19940720
9495,The Crow,1.5E7,9.4E7,19940511
29973,Cobb,2.0E7,1007583.0,19941202
888,The Flintstones,4.6E7,3.41631208E8,19940526
13,Forrest Gump,4.5E7,6.77945399E8,19940706
712,Four Weddings and a Funeral,6000000.0,2.54700832E8,19940309
16295,Higher Learning,3500000.0,3.8290723E7,19950111
48992,I Like It Like That,5000000.0,1777020.0,19941014
10879,I Love Trouble,4.5E7,6.1947267E7,19940629
10660,It Could Happen to You,1253000.0,1731000.0,19940729
10714,The Jungle Book,1.35E7,145969.0,19941223
8587,The Lion King,4.5E7,7.88241776E8,19940623
1689,Little Buddha,3.5E7,4858139.0,19931201
11596,New Nightmare,1.4E7,1.8090181E7,19941013
854,The Mask,2.3E7,3.51583407E8,19940729
9359,Maverick,2500000.0,6291958.0,19940520
23333,Mrs. Parker and the Vicious Circle,2.7E7,1.32E7,19940907
36593,The Naked Gun 33⅓: The Final Insult,3.0E7,5.1132598E7,19940318
2788,Reality Bites,1.15E7,2.007985E7,19940218
10427,Red Rock West,8000000.0,2000000.0,19930708
11011,Ri¢hie Ri¢h,4.0E7,9.3945766E7,19941219
49803,Safe Passage,200000.0,1395610.0,19941201
8987,The River Wild,4.5E7,187488.0,19940930
1637,Speed,3.0E7,3.50448145E8,19940609
8831,Timecop,2.7E7,1.01646581E8,19940915
36955,True Lies,600000.0,3.78882411E8,19940714
10449,When a Man Loves a Woman,5000000.0,5.0021959E7,19940429
12160,Wyatt Earp,6.3E7,2.5052E7,19940624
40480,Bad Company,8000000.0,6881566.0,19950120
29444,S.F.W.,1500000.0,1.4796236E7,19940915
26352,A Low Down Dirty Shame,1.0E7,2.9392418E7,19941123
22067,Jason's Lyric,7000000.0,2.0851521E7,19940928
11667,Street Fighter,3.5E7,9.9423521E7,19941222
32502,Coldblooded,1.0E7,1.861026E7,19950915
267188,Desert Winds,2.25E8,4.19651413E8,19971231
28732,Fall Time,500000.0,142666.0,19950513
42981,Frank and Ollie,2.1E7,3.163515E7,19951020
226229,Mirage,3.0E7,2.7674124E7,19951121
8011,Highlander: The Final Dimension,5400000.0,3.68E7,19941129
171857,Federal Hill,4600000.0,1432799.0,19950224
18069,8 Seconds,750000.0,1757270.0,19940225
2758,Addams Family Values,222000.0,4.8919043E7,19931119
10436,The Age of Innocence,3.4E7,3.225544E7,19930917
13595,Airheads,4.9E7,8685794.0,19940805
46094,The Air Up There,1.708E7,2.10115E7,19940107
16771,Barcelona,3200000.0,6463286.0,19940729
11041,The Beverly Hillbillies,1500000.0,1.11898845E8,19931015
306,Beverly Hills Cop III,5.0E7,1.19208989E8,19940524
26203,Blink,2100000.0,1.6668552E7,19940126
178,Blown Away,5.0E7,3.0156002E7,19940701
4722,Body Snatchers,7.5E7,428868.0,19930609
1607,A Bronx Tale,2.2E7,1.7287898E7,19930914
26391,Cabin Boy,1.4E7,3662459.0,19940107
117553,Calendar Girl,1.3E7,2570145.0,19930903
6075,Carlito's Way,3.0E7,3.6516012E7,19931110
11310,City Slickers II: The Legend of Curly's Gold,259000.0,921000.0,19940610
18658,Clean Slate,433000.0,7355425.0,19940506
9350,Cliffhanger,7.0E7,2.55000211E8,19930528
9612,Coneheads,152000.0,1000000.0,19930723
2124,Color of Night,4.0E7,1.972605E7,19940819
49299,Dangerous Game,1.0E7,1.77E7,19931119
9571,Dazed and Confused,6900000.0,7993039.0,19930924
9739,Demolition Man,4200000.0,1.59055768E8,19931008
18551,Flesh and Bone,3648751.0,9488998.0,19931105
25440,Widows' Peak,2.0E7,4600000.0,19940513
9024,For Love or Money,3.0E7,1.114627E7,19931001
37233,The Firm,4.2E7,2.70248367E8,19930630
1634,Free Willy,2.0E7,1.53698625E8,19930716
35588,Geronimo: An American Legend,1.82E7,1.863562E7,19931210
41579,Getting Even with Dad,3.0E7,1831577.0,19940617
4916,Guilty as Sin,8000000.0,2.2886222E7,19930604
2019,Hard Target,1.8E7,7.4189677E7,19930820
31642,Heaven & Earth,250000.0,168237.0,19931224
9255,Hot Shots! Part Deux,2.5E7,1.33752825E8,19930521
9386,In the Line of Fire,4.0E7,1.76997168E8,19930708
7984,In the Name of the Father,1.3E7,6.5796862E7,19931212
15765,What's Love Got to Do with It,1000000.0,5457664.0,19930609
6,Judgment Night,5000000.0,1.2136938E7,19931015
329,Jurassic Park,6.3E7,9.201E8,19930611
10909,Kalifornia,9000000.0,2395231.0,19930901
507,Killing Zoe,1500000.0,418961.0,19931001
34024,King of the Hill,1.5E7,1182273.0,19930820
9593,Last Action Hero,8.5E7,1.37298489E8,19930618
22317,Lightning Jack,1.7610801E7,7005528.0,19940311
1413,M. Butterfly,7000000.0,1499795.0,19930909
12121,Made in America,2.2E7,1.88072649E8,19930527
10502,The Man without a Face,9000000.0,2.4760338E7,19930825
10440,Manhattan Murder Mystery,1.35E7,1.1285588E7,19930818
9516,Menace II Society,2.5E7,2.79E7,19930526
2320,Executive Decision,5.5E7,1.21969216E8,19960315
11971,Much Ado About Nothing,8000000.0,1.29E8,19930507
2625,Mr. Jones,2.0E7,5642478.0,19931008
31911,Mr. Wonderful,1300000.0,3600000.0,19931015
788,Mrs. Doubtfire,2.5E7,4.41286195E8,19931124
11231,The Next Karate Kid,1.2E7,1.5826984E7,19940718
