date_id,full_date,year,quarter,month,month_name,day,week_of_year,day_of_week,day_name,is_weekend
19421126,1942-11-26,1942,4,11,November,26,48,5,Thursday,true
19421217,1942-12-17,1942,4,12,December,17,51,5,Thursday,true
19430101,1943-01-01,1943,1,1,January,1,53,6,Friday,true
19430211,1943-02-11,1943,1,2,February,11,6,5,Thursday,true
19430409,1943-04-09,1943,2,4,April,9,14,6,Friday,true
19430422,1943-04-22,1943,2,4,April,22,16,5,Thursday,true
19430430,1943-04-30,1943,2,4,April,30,17,6,Friday,true
19430503,1943-05-03,1943,2,5,May,3,18,2,Monday,false
19430516,1943-05-16,1943,2,5,May,16,19,1,Sunday,false
19430525,1943-05-25,1943,2,5,May,25,21,3,Tuesday,false
19430528,1943-05-28,1943,2,5,May,28,21,6,Friday,true
19430612,1943-06-12,1943,2,6,June,12,23,7,Saturday,true
19430913,1943-09-13,1943,3,9,September,13,37,2,Monday,false
19430917,1943-09-17,1943,3,9,September,17,37,6,Friday,true
19430928,1943-09-28,1943,3,9,September,28,39,3,Tuesday,false
19431005,1943-10-05,1943,4,10,October,5,40,3,Tuesday,false
19431007,1943-10-07,1943,4,10,October,7,40,5,Thursday,true
19431126,1943-11-26,1943,4,11,November,26,47,6,Friday,true
19431128,1943-11-28,1943,4,11,November,28,47,1,Sunday,false
19431224,1943-12-24,1943,4,12,December,24,51,6,Friday,true
19431231,1943-12-31,1943,4,12,December,31,52,6,Friday,true
19440111,1944-01-11,1944,1,1,January,11,2,3,Tuesday,false
19440127,1944-01-27,1944,1,1,January,27,4,5,Thursday,true
19440216,1944-02-16,1944,1,2,February,16,7,4,Wednesday,false
19440218,1944-02-18,1944,1,2,February,18,7,6,Friday,true
19440301,1944-03-01,1944,1,3,March,1,9,4,Wednesday,false
19440303,1944-03-03,1944,1,3,March,3,9,6,Friday,true
19440323,1944-03-23,1944,1,3,March,23,12,5,Thursday,true
19440330,1944-03-30,1944,1,3,March,30,13,5,Thursday,true
19440424,1944-04-24,1944,2,4,April,24,17,2,Monday,false
19440504,1944-05-04,1944,2,5,May,4,18,5,Thursday,true
19440511,1944-05-11,1944,2,5,May,11,19,5,Thursday,true
19440701,1944-07-01,1944,3,7,July,1,26,7,Saturday,true
19440721,1944-07-21,1944,3,7,July,21,29,6,Friday,true
19440801,1944-08-01,1944,3,8,August,1,31,3,Tuesday,false
19440821,1944-08-21,1944,3,8,August,21,34,2,Monday,false
19440923,1944-09-23,1944,3,9,September,23,38,7,Saturday,true
19441011,1944-10-11,1944,4,10,October,11,41,4,Wednesday,false
19441017,1944-10-17,1944,4,10,October,17,42,3,Tuesday,false
19441027,1944-10-27,1944,4,10,October,27,43,6,Friday,true
19441114,1944-11-14,1944,4,11,November,14,46,3,Tuesday,false
19441122,1944-11-22,1944,4,11,November,22,47,4,Wednesday,false
19441130,1944-11-30,1944,4,11,November,30,48,5,Thursday,true
19441208,1944-12-08,1944,4,12,December,8,49,6,Friday,true
19441213,1944-12-13,1944,4,12,December,13,50,4,Wednesday,false
19441214,1944-12-14,1944,4,12,December,14,50,5,Thursday,true
19441224,1944-12-24,1944,4,12,December,24,51,1,Sunday,false
19441231,1944-12-31,1944,4,12,December,31,52,1,Sunday,false
19450216,1945-02-16,1945,1,2,February,16,7,6,Friday,true
19450227,1945-02-27,1945,1,2,February,27,9,3,Tuesday,false
19450301,1945-03-01,1945,1,3,March,1,9,5,Thursday,true
19450424,1945-04-24,1945,2,4,April,24,17,3,Tuesday,false
19450425,1945-04-25,1945,2,4,April,25,17,4,Wednesday,false
19450429,1945-04-29,1945,2,4,April,29,17,1,Sunday,false
19450529,1945-05-29,1945,2,5,May,29,22,3,Tuesday,false
19450531,1945-05-31,1945,2,5,May,31,22,5,Thursday,true
19450713,1945-07-13,1945,3,7,July,13,28,6,Friday,true
19450831,1945-08-31,1945,3,8,August,31,35,6,Friday,true
19450905,1945-09-05,1945,3,9,September,5,36,4,Wednesday,false
19450923,1945-09-23,1945,3,9,September,23,38,1,Sunday,false
19451124,1945-11-24,1945,4,11,November,24,47,7,Saturday,true
19451128,1945-11-28,1945,4,11,November,28,48,4,Wednesday,false
19451206,1945-12-06,1945,4,12,December,6,49,5,Thursday,true
19451217,1945-12-17,1945,4,12,December,17,51,2,Monday,false
19451219,1945-12-19,1945,4,12,December,19,51,4,Wednesday,false
19451220,1945-12-20,1945,4,12,December,20,51,5,Thursday,true
19451225,1945-12-25,1945,4,12,December,25,52,3,Tuesday,false
19451227,1945-12-27,1945,4,12,December,27,52,5,Thursday,true
19451228,1945-12-28,1945,4,12,December,28,52,6,Friday,true
19460201,1946-02-01,1946,1,2,February,1,5,6,Friday,true
19460206,1946-02-06,1946,1,2,February,6,6,4,Wednesday,false
19460215,1946-02-15,1946,1,2,February,15,7,6,Friday,true
19460312,1946-03-12,1946,1,3,March,12,11,3,Tuesday,false
19460525,1946-05-25,1946,2,5,May,25,21,7,Saturday,true
19460702,1946-07-02,1946,3,7,July,2,27,3,Tuesday,false
19460706,1946-07-06,1946,3,7,July,6,27,7,Saturday,true
19460724,1946-07-24,1946,3,7,July,24,30,4,Wednesday,false
19460802,1946-08-02,1946,3,8,August,2,31,6,Friday,true
19460815,1946-08-15,1946,3,8,August,15,33,5,Thursday,true
19460823,1946-08-23,1946,3,8,August,23,34,6,Friday,true
19460828,1946-08-28,1946,3,8,August,28,35,4,Wednesday,false
19460920,1946-09-20,1946,3,9,September,20,38,6,Friday,true
19460925,1946-09-25,1946,3,9,September,25,39,4,Wednesday,false
19460926,1946-09-26,1946,3,9,September,26,39,5,Thursday,true
19460928,1946-09-28,1946,3,9,September,28,39,7,Saturday,true
19461010,1946-10-10,1946,4,10,October,10,41,5,Thursday,true
19461017,1946-10-17,1946,4,10,October,17,42,5,Thursday,true
19461207,1946-12-07,1946,4,12,December,7,49,7,Saturday,true
19461220,1946-12-20,1946,4,12,December,20,51,6,Friday,true
19461225,1946-12-25,1946,4,12,December,25,52,4,Wednesday,false
19461231,1946-12-31,1946,4,12,December,31,1,3,Tuesday,false
19470101,1947-01-01,1947,1,1,January,1,1,4,Wednesday,false
19470130,1947-01-30,1947,1,1,January,30,5,5,Thursday,true
19470304,1947-03-04,1947,1,3,March,4,10,3,Tuesday,false
19470404,1947-04-04,1947,2,4,April,4,14,6,Friday,true
19470425,1947-04-25,1947,2,4,April,25,17,6,Friday,true
19470503,1947-05-03,1947,2,5,May,3,18,7,Saturday,true
19470605,1947-06-05,1947,2,6,June,5,23,5,Thursday,true
19470828,1947-08-28,1947,3,8,August,28,35,5,Thursday,true
19470927,1947-09-27,1947,3,9,September,27,39,7,Saturday,true
19471003,1947-10-03,1947,4,10,October,3,40,6,Friday,true
19471008,1947-10-08,1947,4,10,October,8,41,4,Wednesday,false
19471111,1947-11-11,1947,4,11,November,11,46,3,Tuesday,false
19471212,1947-12-12,1947,4,12,December,12,50,6,Friday,true
19471224,1947-12-24,1947,4,12,December,24,52,4,Wednesday,false
19471225,1947-12-25,1947,4,12,December,25,52,5,Thursday,true
19471226,1947-12-26,1947,4,12,December,26,52,6,Friday,true
19480124,1948-01-24,1948,1,1,January,24,4,7,Saturday,true
19480203,1948-02-03,1948,1,2,February,3,6,3,Tuesday,false
19480213,1948-02-13,1948,1,2,February,13,7,6,Friday,true
19480326,1948-03-26,1948,1,3,March,26,13,6,Friday,true
19480409,1948-04-09,1948,2,4,April,9,15,6,Friday,true
19480428,1948-04-28,1948,2,4,April,28,18,4,Wednesday,false
19480604,1948-06-04,1948,2,6,June,4,23,6,Friday,true
19480611,1948-06-11,1948,2,6,June,11,24,6,Friday,true
19480720,1948-07-20,1948,3,7,July,20,30,3,Tuesday,false
19480823,1948-08-23,1948,3,8,August,23,35,2,Monday,false
19480826,1948-08-26,1948,3,8,August,26,35,5,Thursday,true
19480902,1948-09-02,1948,3,9,September,2,36,5,Thursday,true
19481001,1948-10-01,1948,4,10,October,1,40,6,Friday,true
19481104,1948-11-04,1948,4,11,November,4,45,5,Thursday,true
19481116,1948-11-16,1948,4,11,November,16,47,3,Tuesday,false
