movie_id,company_id
1480,6153
9322,2320
9322,1033
9322,6603
826,1303
826,2664
829,4420
829,4489
829,3454
3090,6370
3063,4420
694,2572
694,6370
694,4495
235,1302
235,151
235,5782
235,150
765,4869
765,4984
5925,6134
5925,5839
11778,6154
11778,1742
137,1302
33,3623
33,6370
982,6134
982,3526
8428,4085
8428,5039
212,6370
105,6154
105,267
105,6091
1633,6154
11202,6062
1554,2916
1554,5798
1554,714
1554,2472
149,566
149,5937
149,3607
149,3168
149,5947
149,5643
149,178
149,5568
8009,1543
8009,5889
903,6370
903,2971
11673,2517
11673,2100
11673,1473
3034,6062
3034,1423
3034,2483
3034,3037
339,1076
339,2952
339,3291
339,3433
339,4383
339,4714
339,6247
10404,1116
10404,1745
10404,1059
10404,5086
914,6134
914,5004
756,6354
288,6134
288,5481
910,6370
16633,4804
665,3784
11031,5448
11314,2737
11314,5116
89,3482
89,4420
783,1302
783,2386
783,2814
783,2874
783,4023
783,1002
10644,5861
11257,2386
11257,4025
11257,1459
12104,2386
12104,3784
12104,5918
625,2386
625,2874
625,1840
830,3784
642,6062
642,949
642,4107
655,1076
655,4651
655,375
655,6419
655,4937
655,6466
10341,6267
10341,375
10341,6370
10341,4937
10341,6466
639,1018
639,4050
30180,2593
31388,2632
31388,933
31388,1196
41801,1572
41801,3153
41801,3843
18762,5317
8077,6062
8077,800
814,6154
814,2485
814,286
814,3503
52263,6575
52263,4686
52263,5437
33519,76
16235,1633
16235,3733
11449,282
41848,221
41848,915
25944,1324
25944,306
24913,4420
24913,2653
24913,6527
571,202
8851,4420
8851,5958
37843,1333
37843,1828
6114,287
6114,1303
6114,4311
9529,4690
9529,6013
9529,4588
7340,6134
377,4085
377,5337
653,3016
653,4622
28198,4884
28198,5141
794,6062
794,3574
31640,2217
31640,3666
31640,735
31640,3616
8744,3864
